time,id,user_id,parent_id,root_id,reply_count,rt_count,like_count,text,topic,is_cont
2021-03-10T15:54:55.000Z,1369678162427318275,288277167,-1,1369678162427318275,87,319,1222,"Confronted on CNN with the hypocrisy of pretending to care about the deficit now after he supported Trump's tax cuts for the rich, Sen. Barrasso quickly changes the topic https://t.co/8QO7tDyJh9",trump,1
2021-03-10T15:52:58.000Z,1369677669953122304,21268897,-1,1369677669953122304,27,106,1132,If President Trump was planning on making so many enemies he probably shouldn't have committed so much bank fraud.,trump,1
2021-03-10T15:52:16.000Z,1369677492320051200,1209936918,-1,1369677492320051200,220,883,4549,"Poll: Republican voters lose confidence in McConnell, overwhelmingly support President Trump - https://t.co/XAgd8CKhsK #OANN https://t.co/B0XfEat0bC",trump,1
2021-03-10T15:51:31.000Z,1369677305593880580,16031927,-1,1369677305593880580,29,2,26,Putting name on check is the ‘new normal’ - Trump did (am I right about that?) and now Biden. Remember what Reagan said about how much you can get done if not worried about credit. We are in new times.. https://t.co/eZqhFDHSzj,trump,1
2021-03-10T15:51:28.000Z,1369677291157155841,334715818,-1,1369677291157155841,444,7397,28661,"Pretty obvious now that the people who pretended for 4 years that Trump was going to destroy the country through ""fascism"" were the actual fascists",trump,1
2021-03-10T15:46:37.000Z,1369676073185710085,18956073,-1,1369676073185710085,21,51,100,"""Our country is being destroyed at the Southern border, a terrible thing to see.""

Former President Donald Trump has weighed in on the crisis at the border, warning that the U.S. is being ""destroyed"" by @JoeBiden's policies. 
 https://t.co/QV3Dt7nf1b",trump,1
2021-03-10T15:46:22.000Z,1369676010464153604,16041234,-1,1369676010464153604,22,33,37,'Hey we're good people': Former MLB star Johnny Damon touted friendship with Trump during DUI arrest https://t.co/N0iWTvb7GK,trump,1
2021-03-10T15:44:28.000Z,1369675529650118656,1080894931311431682,-1,1369675529650118656,60,32,165,"New episode

Mark Morgan, former Acting Commissioner of U.S. Customs &amp; Border Protection under the Trump Administration, joins me to examine how Biden’s executive orders on immigration are causing the crisis at the border.

https://t.co/FEbB8GCnyv https://t.co/u2uTppwq1B",trump,1
2021-03-10T15:44:06.000Z,1369675438407188482,20508720,-1,1369675438407188482,144,467,1307,"Trump's explosion of rage at the GOP is more significant than you might think. He's telling Republicans that they must chart a post-Trump future entirely on his terms, or lose his voters. That bodes badly if you hope for a deradicalized GOP anytime soon:
https://t.co/kAFBvCVcoR",trump,1
2021-03-10T15:43:49.000Z,1369675367968083977,21268897,-1,1369675367968083977,30,21,192,lol NYT gives a mercy clap to Trump vax team https://t.co/6W1GEftzw7,trump,1
2021-03-10T15:42:54.000Z,1369675136404701187,1367531,-1,1369675136404701187,267,80,591,Ivanka Trump makes first public appearance since leaving White House https://t.co/NLFRZSrQlJ,trump,1
2021-03-10T15:34:23.000Z,1369672994453327873,16041234,-1,1369672994453327873,23,43,93,Iconic Bible teacher leaves Southern Baptist Convention after her criticism of Trump generates blowback https://t.co/y13Q0Hm0KU,trump,1
2021-03-10T15:34:12.000Z,1369672946562723845,255812611,-1,1369672946562723845,164,736,2153,"This wife beating racist POS is back with Trump. His racist pitch goes something like this:

""Get back to the border as your central issue. Throw meat to the base. Scare them! We must SAVE AMERICA. Thousands of ILLEGALS are coming to take their jobs and DESTROY THEIR COUNTRY."" https://t.co/6VQQmSL8Wq",trump,1
2021-03-10T15:31:08.000Z,1369672174966104066,13850422,-1,1369672174966104066,710,787,2096,Former President Donald Trump requests a mail-in ballot ahead of a local Florida election despite his baseless fraud claims https://t.co/xn2bXLL9lU,trump,1
2021-03-10T15:30:23.000Z,1369671985249271810,11616202,-1,1369671985249271810,27,20,147,"This is what defines cluelessness. The Democrats fielded the best candidate they could in Jason Kander in 2016 and still lost. Two years later, Hawley beat McCaskill by six. Trump won the state by 15 points in 2020. https://t.co/nAKgbAcmYN",trump,1
2021-03-10T15:28:37.000Z,1369671543337451529,168541923,-1,1369671543337451529,63,813,2313,"“Our country is being destroyed at the Southern Border.” 

- President Donald J Trump",trump,1
2021-03-10T15:28:26.000Z,1369671496755335173,255812611,-1,1369671496755335173,41,531,1123,"THE HORROR AT THE BORDER IS DONALD TRUMP.

DO NOT LET REPUBLICANS SPIN THIS BS NOW SO THAT IT FEEDS RED MEAT TO THEIR MOST RACIST BASE VOTERS. https://t.co/wUbJZ4ADQy",trump,1
2021-03-10T15:27:38.000Z,1369671296011935747,123327472,-1,1369671296011935747,52,44,119,"In his war with Republican leaders over control of fundraising, Trump is being encouraged by people like Dick Morris, who has been meeting with him in New York and encouraging him to take on the party he once led. ⁦@anniekarni⁩ ⁦@maggieNYT⁩ https://t.co/5uqxOA1hCn",trump,1
