time,id,user_id,parent_id,root_id,reply_count,rt_count,like_count,text,topic,is_cont
2021-03-10T15:55:59.000Z,1369678427524071426,3233810276,-1,1369678427524071426,18,4,28,"The sudden exploitation of Dr. Seuss continues...
Just in: ""Josh Mandel announced the kick-off of his Dr. Seuss book drive. He is asking supporters to send used Dr. Seuss books to his campaign headquarters, where he will compile and distribute them to children in need.""",Dr Seuss,1
2021-03-10T15:47:00.000Z,1369676169033945089,874916178,-1,1369676169033945089,40,491,1652,"Dr. Seuss attacks Hitler and America First, 1941; https://t.co/mj7EtxvEEG",Dr Seuss,1
2021-03-10T15:44:29.000Z,1369675533647294470,874916178,-1,1369675533647294470,22,238,1001,"Dr. Seuss attacks Hitler and America First, 1941: https://t.co/cB9En81rcM",Dr Seuss,1
2021-03-10T15:43:46.000Z,1369675353556480003,35664186,-1,1369675353556480003,84,40,110,"In an effort to combat the crazy liberal cancel culture, I am proud to announce that I am kicking off a Dr. Seuss Book Drive!

Dust off your old Dr. Seuss books, mail them to me at address below, and we’ll get them distributed to children in need.

https://t.co/eWw85whJLa",Dr Seuss,1
2021-03-10T15:41:10.000Z,1369674699622514689,14133760,-1,1369674699622514689,2,1,14,I wrote a piece about @JakeTapper and Dr. Seuss the other day....there's more to discuss.  https://t.co/b6d1igQPUZ,Dr Seuss,1
2021-03-10T15:39:30.000Z,1369674282297606144,39279014,-1,1369674282297606144,5,2,2,"Pepe Le Pew, Disney movies, Dr. Seuss books, and other nostalgic icons are under the microscope.  Has cancel culture gone too far?",Dr Seuss,1
2021-03-10T15:39:15.000Z,1369674215746662402,38167858,-1,1369674215746662402,6,0,2,"Pepe Le Pew, Disney movies, Dr. Seuss books, and other nostalgic icons are under the microscope.  Has cancel culture gone too far?",Dr Seuss,1
2021-03-10T15:32:11.000Z,1369672437772718086,941754604118831105,-1,1369672437772718086,9,36,113,"RepubliQans are more worried about Dr. Seuss, Mr. Potato Head, and President Biden's dog than Americans who are suffering and dying during this #covid19 pandemic.
 https://t.co/iea2z8b5cd",Dr Seuss,1
2021-03-10T15:32:05.000Z,1369672413131243527,2067661,-1,1369672413131243527,5,1,42,Ohio Rep. Tim Ryan: ‘Stop talking about Dr. Seuss’ and help workers https://t.co/zJkgypixbN,Dr Seuss,1
2021-03-10T15:31:22.000Z,1369672235733159937,2929491549,-1,1369672235733159937,18,13,36,"It’s a sad day for this country when @POTUS has a lot to say about keeping schools closed &amp; cancelling Dr. Seuss, but is silent about a very real &amp; dangerous border crisis.

This is a nat’l sec &amp; humanitarian disaster. 

When will @JoeBiden step up &amp; lead? https://t.co/fdLHg3haVn",Dr Seuss,1
2021-03-10T15:31:00.000Z,1369672140434403335,20535297,-1,1369672140434403335,1,0,11,Ohio’s US Rep. Ryan lashes out during House hearing: ‘Stop talking about Dr. Seuss’ (video) https://t.co/jFRxnHipfr,Dr Seuss,1
2021-03-10T15:25:08.000Z,1369670665704472583,1863948846,-1,1369670665704472583,2,2,52,"Imagine your policy platform being so wrongheaded and unpopular with the public that you spend your days in the US Congress ranting about plastic potato head toys, Dr Seuss, and the President's dog.",Dr Seuss,1
2021-03-10T15:24:54.000Z,1369670607332315138,29277366,-1,1369670607332315138,2,2,9,"Republicans Heard More About Removing Dr. Seuss Books Than Biden's Stimulus: Poll via @MorningConsult 
 and @politico https://t.co/19nUZfHYcp via @Newsweek",Dr Seuss,1
2021-03-10T15:23:04.000Z,1369670143077388303,39909568,-1,1369670143077388303,0,4,23,"Republicans, pretend like Americans are Peter Pan or Dr. Seuss and be outraged that we don't have universal healthcare or enough money to pay bill during the pandemic.",Dr Seuss,1
2021-03-10T15:22:23.000Z,1369669973942108165,19568591,-1,1369669973942108165,139,1425,3383,"Focus, people. Focus!

There are +250 voter suppression bills being pushed by GOP legislators in +40 states. 

While they gaslight America w/fights over Pepe LePew, Dr. Seuss and God knows what other fabricated, faux-cancel, bull-sh*t, they’re making it harder for people to vote. https://t.co/ktdjIQebqI",Dr Seuss,1
2021-03-10T15:22:05.000Z,1369669899581235200,4081106480,-1,1369669899581235200,10,7,50,SHAPIRO: Why Dr. Seuss Had To Go https://t.co/6Jq0IhKgBn https://t.co/O9aJajiGhO,Dr Seuss,1
2021-03-10T15:10:01.000Z,1369666861885980672,976562816772722689,-1,1369666861885980672,0,15,24,".@POTUS continues his work to get us through a pandemic. Meanwhile, Republicans are throwing temper tantrums about Dr. Seuss. #LeadershipMatters https://t.co/f3Low1CmSw",Dr Seuss,1
