time,id,user_id,parent_id,root_id,reply_count,rt_count,like_count,text,topic,is_cont
2021-03-07T15:58:26.000Z,1368591879902814214,270515328,-1,1368591879902814214,0,3,11,I miss Wandavision,WandaVision,0
2021-03-07T15:56:54.000Z,1368591494047821828,16031897,-1,1368591494047821828,0,5,35,#WandaVision: @JohnStamos Shares #FullHouse Throwback Photo of Elizabeth Olsen https://t.co/8On5wBbsGb https://t.co/CMuQ9c56re,WandaVision,0
2021-03-07T15:56:40.000Z,1368591437718249475,84154515,-1,1368591437718249475,7,0,40,"I finished @WandaVision, and I can’t stop thinking about it.  More, more, MORE! 🦸  bravo, @MarvelStudios &amp; @disneyplus",WandaVision,0
2021-03-07T15:49:04.000Z,1368589522838118409,2479845637,-1,1368589522838118409,1,0,11,Wanda Maximoff's full Scarlet Witch getup is an unapologetic superhero costume without the kitsch: https://t.co/2jpTuoQJIG #WandaVision https://t.co/kOODE3N6M3,WandaVision,0
2021-03-07T15:45:03.000Z,1368588513701158913,14892220,-1,1368588513701158913,6,13,100,"Following another use of the Skrulls in #WandaVision, the Marvel Cinematic Universe's version of Secret Invasion is already completely different than the comics. https://t.co/5DO2XQIPHu https://t.co/aGAp8Fnhrq",WandaVision,0
2021-03-07T15:42:11.000Z,1368587790947061761,20177423,-1,1368587790947061761,1,6,27,A Brief History of Monica Rambeau—And What She Means For WandaVision https://t.co/UBtBrNASmZ,WandaVision,0
2021-03-07T15:29:08.000Z,1368584507314606081,43483134,-1,1368584507314606081,0,0,11,i haven't watched WandaVision but Elizabeth Olsen in this costume is doing things to me https://t.co/MxjOQ4nngT,WandaVision,0
2021-03-07T15:25:28.000Z,1368583586845229056,2241082158,-1,1368583586845229056,0,2,7,WandaVision’s finale may have revealed the show’s true villain and you didn’t even notice. 🤔 #WandaVisionFinale https://t.co/4uvxklCFBZ,WandaVision,0
2021-03-07T15:23:48.000Z,1368583166768857088,24216951,-1,1368583166768857088,1,1,14,Will we ever get more WandaVision? https://t.co/ab9QwKEjb8,WandaVision,0
2021-03-07T15:20:36.000Z,1368582360082612226,42665626,-1,1368582360082612226,1,3,20,"""At my first meeting, they were like, You’re going to get a theme song. And I was like, I’m in.""
This is damn good fun, @ditzkoff interviews #WandaVision's excellent Agatha, Kathryn Hahn (spoilers): https://t.co/xfBNGUVCMm https://t.co/KbqmauLgcY",WandaVision,0
2021-03-07T15:20:00.000Z,1368582208659861516,225096034,-1,1368582208659861516,0,0,13,"What is chaos magic on #WandaVision? 

https://t.co/SxXjPNJGpB",WandaVision,0
2021-03-07T15:19:51.000Z,1368582170877558787,119725096,-1,1368582170877558787,0,2,7,"Cat is out the bad Here we go 
a collab With @brightackwerh 

#nftart #friday #Wandavisionfinale  #Wandavision  #nft #nftart #nftartist #nftartists #NFT #nftcollector #NFTcommunity #cryptoart #cryptocurrency #crypto #eth #ETH #ethereum #ETH #opensea 
@opensea https://t.co/ENV5qxzGJz",WandaVision,0
2021-03-07T15:15:00.000Z,1368580952830656514,14353891,-1,1368580952830656514,0,1,1,❗️Exclusive: #ElizabethOlsen talks all things #WandaVision! https://t.co/luqGWdsCrU,WandaVision,0
2021-03-07T15:14:43.000Z,1368580878356656163,14287474,-1,1368580878356656163,0,1,4,Join @JoshDSaleh &amp; @LastXwitness for this weeks news wrap up in the gaming world!...(who are we kidding they’ll prolly just nerd out over the @wandavision finale) 12pm est. https://t.co/oyQ0i93FwE,WandaVision,0
2021-03-07T15:12:00.000Z,1368580195490275336,27987687,-1,1368580195490275336,0,1,10,WandaVision’s gut-wrenching finale teases fate of MCU’s first gay superhero https://t.co/VKBA8UNGfY,WandaVision,0
2021-03-07T15:06:18.000Z,1368578763462750209,142509771,-1,1368578763462750209,1,0,5,"Ways in which #WandaVision's Agatha Harkness could return:

- Señor Scratchy could still be her son, who is a powerful magician in his own right. He could undo Wanda's spell.
- Happening upon something in her basement that breaks the spell.
- Lazy writing. https://t.co/OGVhdNFIRI",WandaVision,0
2021-03-07T15:04:56.000Z,1368578416388284426,227347152,-1,1368578416388284426,43,22,110,"Quotes of the Week: #NewAmsterdam, #WandaVision, #GoldenGlobes and More
https://t.co/qqnJLQ7WRa",WandaVision,0
2021-03-07T15:04:39.000Z,1368578347144511495,21617761,-1,1368578347144511495,0,1,1,"Quotes of the Week From #WynonnaEarp, #NCISLA, #BlueBloods, #WandaVision and More  https://t.co/a0W46M5xLD https://t.co/CgsH1wDDeF",WandaVision,0
2021-03-07T15:02:30.000Z,1368577805840224258,15164565,-1,1368577805840224258,1,1,7,Feeling confused after WandaVision’s final reveals? This is for you. https://t.co/R1uK7DbsZM,WandaVision,0
2021-03-07T15:02:25.000Z,1368577783245516805,81482674,-1,1368577783245516805,39,176,1692,"My interview with Kathryn Hahn, the not-so-secret weapon of WandaVision, on her remarkable run as Agatha Harkness and the pleasures of playing a villain with her own theme song. 
(contains some WV finale spoilers)

https://t.co/MqaabwqPlz",WandaVision,0
2021-03-07T15:02:00.000Z,1368577679587373059,1068121346,-1,1368577679587373059,0,0,0,"Only Someone Who’s Seen Every Episode Of #WandaVision Can Pass This Character Quiz ➡️ 
https://t.co/Uk3ocIKQc1 https://t.co/D8JYJYd7YT",WandaVision,0
2021-03-07T15:01:37.000Z,1368577582971682826,20632528,-1,1368577582971682826,0,1,5,"Quotes of the Week: #NewAmsterdam, #WandaVision, #RuPaulsDragRace, #GoldenGlobes and More https://t.co/O43zHsxkuf",WandaVision,0
2021-03-07T15:01:28.000Z,1368577543687831560,740521678871138304,-1,1368577543687831560,1,8,17,"TONIGHT💥

Join ourselves &amp; @TheNerdCouncil_ this evening, as we will be hosting a special #Wandavision Roundtable LIVE on @Youtube at 8:30PM (GMT)

Subscribe to our channels

🎥 https://t.co/DPFiRD1eMi
🎥 https://t.co/ZyjSbINOaM

Bring some Chaos Magic, theories &amp; your questions https://t.co/wUKNqzAb8R",WandaVision,0
2021-03-07T14:58:55.000Z,1368576903972610051,64376086,-1,1368576903972610051,1,2,3,A few things I wrote last week for @WhatsOnFuture include thoughts on the #WandaVision finale https://t.co/tzzDuvP7Oe,WandaVision,0
2021-03-07T14:45:04.000Z,1368573416920514561,14892220,-1,1368573416920514561,20,11,98,#WandaVision's finale introduced the #MCU version of the Darkhold — contradicting Agents of SHIELD and Runaways in the process. This begs the question: how will the MCU reconcile the previous TV shows with the new Disney+ titles? 🤔  https://t.co/zhs3CjVvce https://t.co/r4pFAywAHG,WandaVision,0
2021-03-07T14:43:11.000Z,1368572943979061256,75115699,-1,1368572943979061256,0,4,17,"I re-watched Infinity War after the Wandavision finale, and the Wanda and Vision scenes — especially the ending — hit so much harder now. https://t.co/EvI0Z8xPdU",WandaVision,0
2021-03-07T14:42:21.000Z,1368572734406557699,212137619,-1,1368572734406557699,0,0,8,Catch up on @wandavision. This is happening tomorrow night!! #WandaVision https://t.co/WKtqFRUblY,WandaVision,0
2021-03-07T14:39:34.000Z,1368572034494693378,34077200,-1,1368572034494693378,0,0,3,"Listen, I wasn't interested in the Oprah/Meghan doc before, but now, thanks to SoftonNonces @andrejpwalker here

if Meghan doesn't outright say ""The Royals are lizards and The Queen killed Diana, I got proof"" I'd be inclined to consider the whole thing a bust on par w wandavision",WandaVision,0
2021-03-07T14:39:30.000Z,1368572019051143171,79309628,-1,1368572019051143171,9,14,393,friend of mine wanted to talk about wandavision and i told him i hadnt seen it and watching the light die in his eyes has given me the strength to push a tree down,WandaVision,0
2021-03-07T14:29:44.000Z,1368569560006340611,70737979,-1,1368569560006340611,3,21,289,anyway girlies what we gonna do now that Wandavision is over https://t.co/CcfdHCMOcE,WandaVision,0
2021-03-07T14:28:59.000Z,1368569371782701057,114066580,-1,1368569371782701057,1,7,91,That moment when you realize Agatha is a fellow Wildcat #WandaVision https://t.co/bb82CAoel7,WandaVision,0
2021-03-07T14:24:56.000Z,1368568352906575876,135882017,-1,1368568352906575876,2,1,31,"WandaVision theory backlash definitely is a case of Marvel being bit by the hand it fed, but I'll take them being bitten if it DOES mean they're going to move away from the tiresome cycle of ""this story sets up the next, and the next, and the next"" that defined its first decade. https://t.co/p71hxzgGcW",WandaVision,0
2021-03-07T14:16:00.000Z,1368566104461877254,51104267,-1,1368566104461877254,1,0,4,"9 episodes, 9 weeks of greatness. Thank you to the entire team of #WandaVision for bring such great story-telling, cinematography, and love to the small screen. The #MCU fans waited a year for Marvel content and man, did y’all deliver. 

I AM READY FOR PHASE 4",WandaVision,0
2021-03-07T14:14:39.000Z,1368565763586453509,75115699,-1,1368565763586453509,0,0,0,"This scene might have been the best in the finale. 

https://t.co/vB4uo6SKeu",WandaVision,0
2021-03-07T14:12:23.000Z,1368565192221630464,2375841180,-1,1368565192221630464,0,0,1,"‘Infinity War’ and ‘Endgame’ were two Marvel films that were too epic to handle. So what does this mean for ‘WandaVision’?
 https://t.co/FeKADOc24b via @DeseretNews",WandaVision,0
2021-03-07T14:09:36.000Z,1368564495019282438,17289717,-1,1368564495019282438,0,0,1,Was not aware Wandavision was going to be one of those things I would start on a whim and then end up fully needing to binge straight through,WandaVision,0
2021-03-07T14:05:02.000Z,1368563343867404290,16031897,-1,1368563343867404290,0,6,34,"After #WandaVision showed how Wanda constructed a new reality based on sitcoms she had watched,  fans are imagining their own versions of Westview.
https://t.co/sx45j6oc6q https://t.co/QhQQBscmHR",WandaVision,0
2021-03-07T14:03:32.000Z,1368562964828200961,119491179,-1,1368562964828200961,2,2,20,I’m so devastated that WandaVision is over that I’ve made the Maximoff household on the Sims. Westview 2.0 here we go.,WandaVision,0
