time,id,user_id,parent_id,root_id,reply_count,rt_count,like_count,text,topic,is_cont
2021-03-10T15:58:00.000Z,1369678935353663493,84377290,-1,1369678935353663493,0,0,3,The decision to include Trump’s name on checks last year was part of a last-minute order by the Treasury Department that drew criticism from Democrats. https://t.co/vp7KTJhbh9,trump,1
2021-03-10T15:57:41.000Z,1369678857389957121,25734277,-1,1369678857389957121,2,10,48,"Of course vaccine production began during the Trump administration, with massive federal support. Beyond that, you have to work really hard to find ways in which Trump wasn’t aggressively blocking an effective government response to the coronavirus. https://t.co/NfijFYStrZ",trump,1
2021-03-10T15:56:16.000Z,1369678501129957376,15834599,-1,1369678501129957376,1,6,57,"MAGA (after Trump starts an insurrection):

""No president has been treated as unfairly as Donald Trump!""

...

Also MAGA (after Biden reverses Trumps COVID disaster &amp; sets us on course to have full vaccination by summer)

""His dog did a dog thing! He's a terrible president!"" https://t.co/ihjPIXHjfw",trump,1
2021-03-10T15:56:07.000Z,1369678461586046977,16311797,-1,1369678461586046977,0,2,0,"Manhattan prosecutors are intensifying their investigation into former President Donald Trump’s businesses, taking aim at Seven Springs, a Westchester County, N.Y., estate that he unsuccessfully tried to develop. https://t.co/MFKj1Ch00b",trump,1
2021-03-10T15:55:56.000Z,1369678416056881160,2384732965,-1,1369678416056881160,1,0,0,".@GOPChairwoman goes on Fox Business to shrug off the rift between Trump and the RNC...

""The Republican Party is much more united than people think. We are not the royal family. We're getting along very well."" 

She says she spoke with Trump ""several times over the weekend."" https://t.co/K7LsEcC5dX",trump,1
2021-03-10T15:55:27.000Z,1369678293595742210,16250929,-1,1369678293595742210,0,0,2,Dick Morris Now Advising Trump https://t.co/YTwVsiTw0B via @politicalwire @DickMorrisTweet,trump,1
2021-03-10T15:55:12.000Z,1369678231578804230,823677630,-1,1369678231578804230,0,0,0,Representative Cathy Rodgers (R-WA) is currently using her opening statement at the Congressional hearing on the future of the EPA to falsely claim that Donald Trump set records on clean air in the United States.,trump,1
2021-03-10T15:55:03.000Z,1369678193788092418,534881613,-1,1369678193788092418,6,45,157,"Tomorrow I am LIVE with Kevin Sorbo (@ksorbs) to discuss his new documentary film on abortion, in which he and his wife praise President Trump’s leadership on the controversial topic in ""Leaders for Life”. Youtube. Link in profile. 3:15pm EST. https://t.co/wv36RcRrlH",trump,1
2021-03-10T15:54:55.000Z,1369678162427318275,288277167,-1,1369678162427318275,87,319,1222,"Confronted on CNN with the hypocrisy of pretending to care about the deficit now after he supported Trump's tax cuts for the rich, Sen. Barrasso quickly changes the topic https://t.co/8QO7tDyJh9",trump,1
2021-03-10T15:54:30.000Z,1369678054814056451,113763153,-1,1369678054814056451,0,2,6,"“Without a doubt, to accomplish the scale of the mission that we have, we need more resources,” Wales tells congress. Here’s reporting on the push to elevate CISA to fulfill a role as the nation’s lead cybersecurity agency: https://t.co/uueFC33mLY and https://t.co/cnG2p2bjfd https://t.co/gucRW6dr8r",trump,1
