time,id,user_id,parent_id,root_id,reply_count,rt_count,like_count,text,topic,is_cont
2021-05-19T23:53:27.000Z,1395165739418488832,122294468,-1,1395165739418488832,0,0,4,Non-binary Demi Lovato blames drug overdose on 'ignoring my truth' https://t.co/WQLomFZIJU,Demi Lovato,1
2021-05-19T23:45:00.000Z,1395163610310234112,239861560,-1,1395163610310234112,0,0,0,"Singer Demi Lovato revealed on Wednesday they identify as nonbinary and are changing their pronouns, telling fans the decision came after “self-reflective work.”
https://t.co/pYn8PyrcKo",Demi Lovato,1
2021-05-19T23:40:05.000Z,1395162373200228353,28325821,-1,1395162373200228353,0,0,0,"""Every day we wake up, we are given another opportunity and chance to be who we want and wish to be,""
https://t.co/LKdoMhVtsL",Demi Lovato,1
2021-05-19T23:30:16.000Z,1395159904114159617,3331875599,-1,1395159904114159617,3,6,38,"Demi Lovato comes out as nonbinary and changes pronouns to they/them, writing on Twitter: ""Today is a day I'm so happy to share more of my life with you all."" https://t.co/4Eh9s7guOM",Demi Lovato,1
2021-05-19T23:30:11.000Z,1395159882974777344,17446621,-1,1395159882974777344,23,10,70,"“This best represents the fluidity I feel in my gender expression and allows me to feel most authentic and true to the person I both know I am and am still discovering,” Lovato says. “I want to make it clear that I’m still learning and coming into myself"" https://t.co/HpL3viDJyn",Demi Lovato,1
2021-05-19T23:28:54.000Z,1395159559698886657,26023025,-1,1395159559698886657,0,0,0,Demi Lovato Now Identifies As Non-Binary https://t.co/Rke00orsJ8 https://t.co/5byQg8s4Nr,Demi Lovato,1
2021-05-19T23:24:00.000Z,1395158327395553282,24322323,-1,1395158327395553282,2,0,0,"#DemiLovato made a big, personal announcement on their social media early this morning: They identify as non-binary and will be using they/them pronouns going forward. https://t.co/GzMXw0vSqL",Demi Lovato,1
2021-05-19T23:19:00.000Z,1395157067225198593,40076725,-1,1395157067225198593,3,9,51,Demi Lovato announced they now use they/them pronouns in a candid episode of their new podcast (via @LogoTV) https://t.co/NBWRfYwHTR,Demi Lovato,1
2021-05-19T23:16:08.000Z,1395156345335296001,1655105911,-1,1395156345335296001,0,0,0,Demi Lovato keeps opening up about their journey of self-discovery and has announced that they identify as a non-binary person. https://t.co/EoJCwl3xMx,Demi Lovato,1
2021-05-19T23:00:06.000Z,1395152311400517634,91583544,-1,1395152311400517634,44,30,140,Demi Lovato is NUTS. https://t.co/KE876TO7I2,Demi Lovato,1
2021-05-19T23:00:04.000Z,1395152303209000974,18206547,-1,1395152303209000974,1,0,3,"GLAAD recommends only calling someone nonbinary if they claim that identity themselves. 
 https://t.co/k66nERG53m",Demi Lovato,1
2021-05-19T23:00:01.000Z,1395152293004206084,58479641,-1,1395152293004206084,0,0,0,NON-BINARY: Lovato said they picked gender-neutral pronouns as “this best represents the fluidity I feel in my gender expression.”   https://t.co/jCpNIuSbjm,Demi Lovato,1
2021-05-19T22:51:34.000Z,1395150162603823104,20744553,-1,1395150162603823104,1,1,1,"Musician Demi Lovato decides to identify as #nonbinary and change pronouns to ""they/them"" saying, “I’m doing this for those out there that haven’t been able to share who they truly are with their loved ones.” https://t.co/CAIvjfnagE",Demi Lovato,1
2021-05-19T22:50:13.000Z,1395149824815734787,14408989,-1,1395149824815734787,0,0,1,"Singer Demi Lovato comes out as nonbinary, changes pronouns to they/them after ‘self-reflective work’ https://t.co/n5QJXJxksT",Demi Lovato,1
2021-05-19T22:45:12.000Z,1395148561441042438,14765253,-1,1395148561441042438,10,0,5,'Proud': Demi Lovato announces new pronouns  https://t.co/akkTCrnzfw https://t.co/5vEiJPDcqB,Demi Lovato,1
2021-05-19T22:44:12.000Z,1395148310294499329,2707320039,-1,1395148310294499329,0,0,0,"Singer Demi Lovato comes out as nonbinary, will change pronouns to they/them https://t.co/7vXEQanbMX",Demi Lovato,1
2021-05-19T22:42:18.000Z,1395147831011332097,32466494,-1,1395147831011332097,0,0,0,Demi Lovato Comes Out as Non-Binary:   https://t.co/dRuK6j5j0z,Demi Lovato,1
2021-05-19T22:40:00.000Z,1395147253694803968,20445524,-1,1395147253694803968,4,1,3,"Singer Demi Lovato revealed on Wednesday they identify as nonbinary and are changing their pronouns, telling fans the decision came after “self-reflective work.” 

https://t.co/cBudrAtTzC",Demi Lovato,1
2021-05-19T22:40:00.000Z,1395147252419768327,18354016,-1,1395147252419768327,1,3,5,"#DemiLovato has come out as non-binary and will be officially using the pronouns they/them 

https://t.co/idfCLpiHyK",Demi Lovato,1
2021-05-19T22:35:00.000Z,1395145994476703745,1652541,-1,1395145994476703745,143,29,157,"Demi Lovato now identifies as non-binary, and attributed their 2018 drugs overdose to years of suppressing their real self in order to please the entertainment industry, the American pop singer said https://t.co/SRjAxdI0a2 https://t.co/SJsJGaeC1T",Demi Lovato,1
2021-05-19T22:30:10.000Z,1395144779349086208,377949581,-1,1395144779349086208,2,0,4,"Demi Lovato comes out as nonbinary and changes pronouns to they/them, writing on Twitter: ""Today is a day I'm so happy to share more of my life with you all."" https://t.co/U1n0ORGUTI",Demi Lovato,1
2021-05-19T22:25:09.000Z,1395143516230139904,42691888,-1,1395143516230139904,0,5,64,“I am proud to let you know that I identify as non-binary and will officially be changing my pronouns to they/them moving forward.” https://t.co/q3LUpbwYJ2,Demi Lovato,1
2021-05-19T22:25:00.000Z,1395143478070362114,17895820,-1,1395143478070362114,3,0,3,Piers Morgan appears to take brutal swipe at Demi Lovato as they come out as non-binary https://t.co/a4DctFswvi https://t.co/jhIzaxwkKb,Demi Lovato,1
2021-05-19T22:23:00.000Z,1395142974502170624,701725963,-1,1395142974502170624,41,20,166,'[This] allows me to feel most authentic and true to the person I both know I am and am still discovering’ — Demi Lovato just announced that they are non-binary and will be using they/them pronouns https://t.co/KTWv89xx7V,Demi Lovato,1
2021-05-19T22:22:40.000Z,1395142892692332544,19334486,-1,1395142892692332544,0,0,1,"""Today is a day I'm so happy to share more of my life with you all"" https://t.co/rDcSvC44cB",Demi Lovato,1
2021-05-19T22:21:00.000Z,1395142471118594052,55204143,-1,1395142471118594052,0,0,0,"Demi Lovato's overdose linked to them 'ignoring their truth' as being non-binary
https://t.co/dgKGRLYCMZ https://t.co/YaReisA21e",Demi Lovato,1
2021-05-19T22:20:09.000Z,1395142259234967556,1560879775,-1,1395142259234967556,0,0,0,"Singer Demi Lovato comes out as nonbinary, will change pronouns to they/them https://t.co/qyb5b0VGcL",Demi Lovato,1
2021-05-19T22:20:09.000Z,1395142258358431745,57735773,-1,1395142258358431745,0,0,0,"Singer Demi Lovato comes out as nonbinary, will change pronouns to they/them https://t.co/d32R9ywyXL",Demi Lovato,1
2021-05-19T22:10:00.000Z,1395139703138136065,32496789,-1,1395139703138136065,11,0,7,Singer Demi Lovato said they identify as nonbinary and are changing their pronouns. Lovato told fans the decision came after “self-reflective work.” https://t.co/2ToTHgXZqv,Demi Lovato,1
2021-05-19T22:10:00.000Z,1395139702794055683,16513416,-1,1395139702794055683,21,0,3,Demi Lovato revealed that they have come out as non-binary and will be using they/them pronouns. https://t.co/Lk4ENVihTR,Demi Lovato,1
2021-05-19T22:03:14.000Z,1395138000670035972,18205191,-1,1395138000670035972,0,0,0,Demi Lovato announced Wednesday that they are nonbinary and will be using the pronouns they and them. https://t.co/JXNsKYPbln,Demi Lovato,1
2021-05-19T22:02:11.000Z,1395137734721871874,10722372,-1,1395137734721871874,11,0,1,"Singer Demi Lovato comes out as nonbinary, will change pronouns to they/them https://t.co/o2esFzKRtU",Demi Lovato,1
2021-05-19T22:00:32.000Z,1395137321243222016,722528529716383744,-1,1395137321243222016,63,26,114,What a strange world we live in... https://t.co/A2Cjsr2Q4s,Demi Lovato,1
2021-05-19T22:00:01.000Z,1395137191009943555,494676930,-1,1395137191009943555,0,0,0,"Demi Lovato is living their truth 💛The singer came out as non-binary Wednesday, announcing they use they/them pronouns. Celebrate Demi's new chapter with us on PopCulture's #SocialCall! 

https://t.co/AMHWmjQWBN https://t.co/ozCx0Tz8uk",Demi Lovato,1
2021-05-19T21:59:52.000Z,1395137154209050624,21642593,-1,1395137154209050624,1,3,14,Pretty bold of people who call their cars a “she” to criticize Demi Lovato or anyone for coming out as non-binary.,Demi Lovato,1
2021-05-19T21:59:25.000Z,1395137038689738756,837981504,-1,1395137038689738756,0,0,0,"Singer Demi Lovato comes out as nonbinary, will change pronouns to they/them https://t.co/PSqSTtniaz",Demi Lovato,1
