time,id,user_id,parent_id,root_id,reply_count,rt_count,like_count,text,topic,is_cont
2021-05-19T23:59:34.000Z,1395167275137871879,48654999,-1,1395167275137871879,1,3,24,"I love you #PaulMooney #Legend
One of the greatest to ever do it. I sometimes go online just to watch clips. RIP to the Great Paul Mooney!!! #PaulMooney https://t.co/XGDB0jHFT1",Paul Mooney,0
2021-05-19T23:54:10.000Z,1395165916946702339,20068679,-1,1395165916946702339,3,13,71,"Join me on Black News Tonight at 8pm ET and (8pm PT). We’ll be remembering the legacies of Paul Mooney and Malcolm X. Excited to be joined by Luenell, @GuyTorry, @arm_legacy, @wesleymuhammad, @MonifaBandele, @zaheerali, and @MaythaAlhassen!!! Tune in on @BNCNews!!!",Paul Mooney,0
2021-05-19T23:49:52.000Z,1395164835512340488,22717579,-1,1395164835512340488,0,5,40,"Yo Paul Mooney forever and ever. 

A mind that was fearless and without flaw. 

Black and brilliant. 

Lots of stars. Just one Moon.",Paul Mooney,0
2021-05-19T23:49:31.000Z,1395164746735882246,18739443,-1,1395164746735882246,0,19,51,"NPR did many excellent interviews with Paul Mooney over the years. It was bittersweet to go back and hear his fertile mind at work for this appreciation. 

#PaulMooney @npr @npratc 

https://t.co/7Ez9bQHQ1K",Paul Mooney,0
2021-05-19T23:47:03.000Z,1395164127153332226,2467791,-1,1395164127153332226,22,167,604,"Paul Mooney, who wrote for Richard Pryor and appeared on “Chappelle’s Show,” dies at 79 https://t.co/9D8FwXCg1M",Paul Mooney,0
2021-05-19T23:38:46.000Z,1395162044702277634,38731937,-1,1395162044702277634,0,1,0,"Paul Mooney, comedian and writer for Richard Pryor, dies at 79 https://t.co/DNJ65l87Lq via @nbcnews",Paul Mooney,0
2021-05-19T23:35:14.000Z,1395161155207839755,21847241,-1,1395161155207839755,1,1,8,"I watched a Paul Mooney stand-up performance this afternoon and man, he never didn’t bring it. Jokes and truth rolled into one. Hearing him talk about Richard Pryor was great too. 

A sad loss - he was a man who never failed to challenge the way things are.",Paul Mooney,0
2021-05-19T23:35:00.000Z,1395161095636193284,17365337,-1,1395161095636193284,0,1,5,"A prolific comic, writer and actor, Paul Mooney was the head writer on ""The Richard Pryor Show"" and had an extensive list of TV writing credits that included ""Sanford and Son,"" ""Good Times,"" ""In Living Color"" and ""Chappelle's Show"": https://t.co/PdURNT4YTF",Paul Mooney,0
2021-05-19T23:34:04.000Z,1395160859572273152,21280975,-1,1395160859572273152,2,10,61,"Today’s been so packed I haven’t even really processed that Paul Mooney died. 

I’m definitely going to spend some time absorbing the great gift he shared with us while I light a candle tonight tho. 

Thank you, new ancestor. Rest well. 🙏🏾🕊 https://t.co/CbqDOsLLf8",Paul Mooney,0
2021-05-19T23:31:57.000Z,1395160326375559169,25956904,-1,1395160326375559169,0,0,1,Love to the Legend Paul Mooney Rest in Power King,Paul Mooney,0
2021-05-19T23:30:10.000Z,1395159879162028035,29229561,-1,1395159879162028035,1,0,14,"Paul Mooney? Charles Grodin? Yoshi Wada? Cut us some slack, Universe.",Paul Mooney,0
2021-05-19T23:30:00.000Z,1395159837001007105,19366646,-1,1395159837001007105,0,0,0,"Paul Mooney, known for his comedic writing for Richard Pryor and appearances in ""Bamboozled"" and ""Chappelle's Show"" has died. He was 79.  https://t.co/qM2toM7tha",Paul Mooney,0
2021-05-19T23:27:33.000Z,1395159219104620546,2296691736,-1,1395159219104620546,1,4,9,"“I like when people are trapped in the joke, when there’s no escape. I like to lead people down the wrong path and then trap them.” Farewell to Paul Mooney, the blunt, barrier-breaking comedian who worked with Pryor and Chappelle: https://t.co/A7KQSCpZoT",Paul Mooney,0
2021-05-19T23:27:10.000Z,1395159122706845696,294786186,-1,1395159122706845696,0,0,0,Damn... Just found out Paul Mooney died today.... RIP legend. He was hilarious... #PaulMooney,Paul Mooney,0
2021-05-19T23:26:24.000Z,1395158932277141505,18810140,-1,1395158932277141505,1,0,8,I once ran into Paul Mooney nearby the 72nd St. or 96th station (I can’t recall) on the Upper West Side. We’d both gotten off the train and I said hello. The next 20 minutes of conversation were amazing and intense. RIP to the legend.,Paul Mooney,0
2021-05-19T23:25:29.000Z,1395158698524356611,2479845637,-1,1395158698524356611,0,3,1,"A towering force in comedy, Paul Mooney served as a writing partner for such comedic greats as Richard Pryor and Dave Chappelle: https://t.co/8Kxvz2xAOH https://t.co/CKvw1WXhPM",Paul Mooney,0
2021-05-19T23:25:19.000Z,1395158657659064321,156306739,-1,1395158657659064321,2,5,37,Paul Mooney Remembered by Dave Chappelle and More: 'He Spoke Freely and Fearlessly' https://t.co/rYJ0KnHMwV,Paul Mooney,0
2021-05-19T23:20:21.000Z,1395157409824395266,730778648236720128,-1,1395157409824395266,0,1,4,"We've lost one of the greatest. Join us today in remembering Paul Mooney - comedian, writer, and trailblazer. https://t.co/vaSbN2bbRW",Paul Mooney,0
2021-05-19T23:19:49.000Z,1395157273572302849,78492615,-1,1395157273572302849,22,717,5707,"“All comedians who believe they can’t say anything, remember Paul Mooney sacrificed stardom so he could say everything.” - Dave Chappelle with the god damn accuracy",Paul Mooney,0
2021-05-19T23:19:21.000Z,1395157158426198021,8795772,-1,1395157158426198021,2,3,13,"Comedian Paul Mooney, 'Richard Pryor Show' writer and 'Bamboozled' actor, dies at 79 https://t.co/whaeZ01MpI",Paul Mooney,0
2021-05-19T23:19:14.000Z,1395157127484817414,32606999,-1,1395157127484817414,0,2,0,"Paul Mooney, who wrote for Richard Pryor and appeared on ‘Chappelle’s Show,’ dies at 79 https://t.co/vgjjEAtm6p",Paul Mooney,0
2021-05-19T23:18:00.000Z,1395156816187768833,17751495,-1,1395156816187768833,0,0,17,Paul Mooney’s ‘Black Is The New White’ is one helluva read if you’re looking for something to dive into. One of those one sitting-type reads.,Paul Mooney,0
2021-05-19T23:17:04.000Z,1395156579817771013,16331010,-1,1395156579817771013,2,34,202,"Dave Chappelle Says Paul Mooney Will Be Sorely Missed, Wildly Remembered https://t.co/qIWNF3y9Oc",Paul Mooney,0
2021-05-19T23:14:36.000Z,1395155962042929165,309978842,-1,1395155962042929165,0,1,4,"The Twitter account for the comedian thanked his fans for their condolences, writing ""To all in love with this great man.. many thanks."" https://t.co/kwworLSuyu",Paul Mooney,0
2021-05-19T23:02:00.000Z,1395152790469611527,16135783,-1,1395152790469611527,0,0,1,"Paul Mooney, 'Bamboozled' and 'Chappelle's Show' actor and comedian, has died https://t.co/V055bjDLY9",Paul Mooney,0
2021-05-19T23:02:00.000Z,1395152789353816066,17895820,-1,1395152789353816066,0,0,2,"Legendary comedian Paul Mooney dies ‘suddenly’ at 79 after suffering heart attack
https://t.co/s2uHzzVZTz https://t.co/WEYQtXP9R3",Paul Mooney,0
2021-05-19T23:00:22.000Z,1395152380505870341,16477702,-1,1395152380505870341,0,0,0,"Pioneering comic Paul Mooney, a writer for Richard Pryor, dies at 79 https://t.co/2nokP59YKF",Paul Mooney,0
2021-05-19T23:00:05.000Z,1395152309106135042,441389311,-1,1395152309106135042,0,0,0,"Pioneering comic Paul Mooney, a writer for Richard Pryor, dies at 79 https://t.co/Yj9WfGekq5",Paul Mooney,0
2021-05-19T23:00:05.000Z,1395152308879740931,17028405,-1,1395152308879740931,0,2,4,"Paul Mooney, a boundary-pushing comedian who was Richard Pryor's longtime writing partner and whose sage, incisive musings on racism and American life made him a revered figure in stand-up, has died.​  https://t.co/NqTykGtE50",Paul Mooney,0
2021-05-19T22:58:42.000Z,1395151959200604160,632384737,-1,1395151959200604160,0,0,7,The real tribute to Paul Mooney is the creative genius that is being shared all over social media today. A true comedy legend.,Paul Mooney,0
2021-05-19T22:56:38.000Z,1395151438171492352,1013374544,-1,1395151438171492352,0,10,40,RIP to the Great Paul Mooney @PaulEalyMooney @GodfreyComedian @FunnyAida @TonyTRoberts #PaulMooney https://t.co/X052h8TINJ,Paul Mooney,0
2021-05-19T22:55:59.000Z,1395151274300084228,23006794,-1,1395151274300084228,50,319,2143,"Paul Mooney. Thank you for always keeping it real. #RIP 

📸: Michael Ochs Archives / Getty Images https://t.co/KCxu2aUy1s",Paul Mooney,0
2021-05-19T22:55:46.000Z,1395151220793348096,1146770712,-1,1395151220793348096,0,0,6,"Paul Mooney had the kind of career comedians only dream of. From Richard Pryor to Negrodamus and ""Bamboozled,"" his voice was fearless and penetrating. ""It's the End of the World"" is a personal favorite. https://t.co/7S42psAGPU",Paul Mooney,0
2021-05-19T22:55:34.000Z,1395151169366806528,3471901,-1,1395151169366806528,0,1,10,Paul Mooney was great. RIP.,Paul Mooney,0
2021-05-19T22:52:53.000Z,1395150496550240256,42958829,-1,1395150496550240256,1,13,19,"Renowned comedian and actor Paul Mooney, who starred in movies such as “Bamboozled” and “The Buddy Holly Story,” died of an apparent heart attack at the age of 79.

Mooney’s greatest success came as a writer for one of the biggest names in comedy: Richard Pryor. https://t.co/sbNUd7t2RH",Paul Mooney,0
2021-05-19T22:47:09.000Z,1395149054976344064,27384718,-1,1395149054976344064,65,1199,4480,"The Roast Of Richard Pryor featuring Paul Mooney, John Witherspoon and several other legends. #RIPPaulMooney https://t.co/oVjxvAiF2Z",Paul Mooney,0
2021-05-19T22:46:42.000Z,1395148938034962432,59233949,-1,1395148938034962432,1,2,25,"""I'm launching a Sunday morning talk show for Black people. It's called Good Morning Black America. It comes on at 3pm."" Paul Mooney
RIP to a pioneer and funny man. We will miss you! 🙏🏽💔 https://t.co/YlFT9X4Xyd",Paul Mooney,0
2021-05-19T22:45:06.000Z,1395148535776088072,267750292,-1,1395148535776088072,0,0,0,"Paul Mooney, the boundary-pushing comedian who was Richard Pryor's longtime writing partner and whose bold, incisive musings on racism and American life made him a revered figure in stand-up, has died. He was 79. 

https://t.co/tS3sj6Xm33",Paul Mooney,0
2021-05-19T22:45:00.000Z,1395148509863727115,15905925,-1,1395148509863727115,0,3,7,Paul Mooney Dead At 79: Dave Chappelle Reacts https://t.co/SGSYIaO9fU,Paul Mooney,0
2021-05-19T22:44:03.000Z,1395148271472058368,2363765797,-1,1395148271472058368,0,0,1,"Paul Mooney, pioneering comic and writer for Richard Pryor, dies at 79 https://t.co/3eWiPB3tDG",Paul Mooney,0
2021-05-19T22:42:58.000Z,1395148001610330112,257087249,-1,1395148001610330112,0,0,3,#RIP Paul Mooney - comic writer and performer known for his boundary-pushing routines about racism and social justice and for his work with Richard Pryor and Dave Chappelle. Mooney was 79.  #PaulMooney https://t.co/4Qb1sjnXJh,Paul Mooney,0
2021-05-19T22:42:28.000Z,1395147876444028932,16664681,-1,1395147876444028932,7,27,64,"Paul Mooney, the boundary-pushing comedian whose bold, incisive musings on racism and American life made him a revered figure in stand-up, has died at his home in Oakland.

https://t.co/a7Qlfg81Uz",Paul Mooney,0
2021-05-19T22:40:39.000Z,1395147417889218563,68577152,-1,1395147417889218563,7,98,1171,PAUL MOONEY BUBBA YOU FUNNY BUBBA I LOVE YOU FOREVER,Paul Mooney,0
2021-05-19T22:40:07.000Z,1395147284103434241,18993395,-1,1395147284103434241,1,0,9,"Paul Mooney, longtime comedian and actor, has died after suffering a heart attack at his home in Oakland. He was 79.​ https://t.co/I3ERmPRGrZ https://t.co/Co75BhQ6TN",Paul Mooney,0
2021-05-19T22:36:01.000Z,1395146249821642753,17960313,-1,1395146249821642753,0,1,8,Rest In Peace to the great #PaulMooney 🙏🏽 Sending love &amp; prayers to his family &amp; close friends that I know. Your legacy will live on forever 🕊 https://t.co/gtMp9r6aVM,Paul Mooney,0
2021-05-19T22:34:53.000Z,1395145966487887875,191230576,-1,1395145966487887875,0,11,93,"Flowers for Mr. Paul Mooney 
🌾...his smile lit a room on fire. https://t.co/oRbaEIgMbw",Paul Mooney,0
2021-05-19T22:27:47.000Z,1395144180020752388,38496530,-1,1395144180020752388,0,2,7,"I had a friend at this show and said Paul Mooney told the crowd, ""I'm not starting my set until enough white people leave. There are too many white people here."" https://t.co/mkgDNMScwY",Paul Mooney,0
2021-05-19T22:27:33.000Z,1395144120885071872,26392914,-1,1395144120885071872,0,0,0,Rest in peace Paul Mooney https://t.co/jW6u1HIL0r,Paul Mooney,0
2021-05-19T22:21:31.000Z,1395142600445808642,14437914,-1,1395142600445808642,2,19,51,"Paul Mooney, a boundary-pushing comedian who was Richard Pryor’s longtime writing partner, has died at age 79. https://t.co/VaBnyU98vm https://t.co/Y9xTJYfRfK",Paul Mooney,0
2021-05-19T22:20:31.000Z,1395142350888869890,36974383,-1,1395142350888869890,0,0,0,"Oh that’s sad. Paul Mooney, the comedian, has died.  https://t.co/9qNy3HJY33",Paul Mooney,0
2021-05-19T22:15:11.000Z,1395141006538985479,1116103010189398016,-1,1395141006538985479,0,0,1,"Paul Mooney was one of the best comedians. He’ll definitely be missed!

https://t.co/p47aBJyXAz",Paul Mooney,0
2021-05-19T22:11:04.000Z,1395139971808333824,21681591,-1,1395139971808333824,11,21,171,"As the world has heard, the great Paul Mooney has passed

I love you Paul. You will always be in my heart. Say what’s up to the greats for me and mom and dad

I wanted to share with you guys a scene that he did with me and Andy Dick in In The Army Now
#PaulMooney @allthingscomedy https://t.co/yz4TMzc4gr",Paul Mooney,0
2021-05-19T22:07:00.000Z,1395138947865473027,34262462,-1,1395138947865473027,3,2,6,"Tributes pour in after actor, comedian Paul Mooney dies of heart attack at age 79

@PaulEalyMooney
https://t.co/Uv7lT99FBf",Paul Mooney,0
2021-05-19T22:03:09.000Z,1395137978398396418,19994279,-1,1395137978398396418,1,0,1,"Aww, man ... Paul Mooney, the legend!!!

https://t.co/djPwKyXzTX https://t.co/PUS1bYknkb",Paul Mooney,0
2021-05-19T22:02:03.000Z,1395137702727766019,2910022539,-1,1395137702727766019,1,8,12,"Paul Mooney, the comedian, actor and writer for Richard Pryor, has died at age 79, his representative says. https://t.co/dFrSzK7sIt",Paul Mooney,0
2021-05-19T22:01:26.000Z,1395137547932639233,15690771,-1,1395137547932639233,1,3,136,"I'm very glad that we as a culture got to have Paul Mooney in our lives - we are all better for it, but especially the comedians. RIP.",Paul Mooney,0
2021-05-19T22:01:22.000Z,1395137531163910157,16861940,-1,1395137531163910157,1,4,12,"RIP Paul Mooney. I was his opener for 2.5 years, so here are some stories about the Godfather of Comedy: https://t.co/36F9XMNdbh",Paul Mooney,0
2021-05-19T22:00:19.000Z,1395137266062815236,16116288,-1,1395137266062815236,1,15,43,Tulsa race massacre survivors testify; Pittsburgh gets 1st Black mayor; Comedian Paul Mooney dies https://t.co/byeWdd0pij,Paul Mooney,0
2021-05-19T22:00:00.000Z,1395137188711575553,16990802,-1,1395137188711575553,0,0,0,"Paul Mooney, a boundary-pushing comedian who was Richard Pryor's longtime writing partner and whose sage, incisive musings on racism and American life made him a revered figure in stand-up, has died. He was 79.  https://t.co/Ip1t6pgj2p",Paul Mooney,0
2021-05-19T21:59:52.000Z,1395137151923273740,119829799,-1,1395137151923273740,1,2,14,Comedian Paul Mooney has died at 79 https://t.co/MGMDorf0sz https://t.co/FR7fnLpXQI,Paul Mooney,0
2021-05-19T21:57:14.000Z,1395136489315569668,15933690,-1,1395136489315569668,0,2,3,Pioneering comic #PaulMooney dies at 79 | https://t.co/XDVfIaROlk https://t.co/igNwnIjz4n,Paul Mooney,0
2021-05-19T21:56:26.000Z,1395136290459377671,589295947,-1,1395136290459377671,0,1,5,"RIP Paul Mooney 🙏🏿🙏🏿

What a career ! https://t.co/xwCKWRtLMV",Paul Mooney,0
2021-05-19T21:48:17.000Z,1395134237997666307,128418853,-1,1395134237997666307,1,13,146,RIP The Great Paul Mooney https://t.co/Jg6Ic9wGkg,Paul Mooney,0
2021-05-19T21:47:44.000Z,1395134101422698497,28395645,-1,1395134101422698497,9,7,98,"Paul Mooney was the real deal. Always. Never politically correct he was always Paul Mooney. Paul was also ageless. A beautiful man. Literally beautiful. Paul Mooney, Trailblazing Comedian, Dies at 79 https://t.co/2LjhyEztaL",Paul Mooney,0
