time,id,user_id,parent_id,root_id,reply_count,rt_count,like_count,text,topic,is_cont
2021-05-19T23:55:01.000Z,1395166133456621572,5741722,-1,1395166133456621572,5,16,101,"New York Attorney General Letitia James' investigation into the Trump Organization has expanded into a criminal probe, her office confirmed. https://t.co/x59PuP6ifi",Trump Organization,1
2021-05-19T23:55:00.000Z,1395166126712176642,23970102,-1,1395166126712176642,40,39,291,"Tonight on the @NoSpinNews the following topics:  Trump Organization still under investigation, anti-Trump zealots pushing for yet another Capitol investigation, and is Joe Biden really Catholic?

Watch free at 8pm on https://t.co/g82M2njWbD or anytime on https://t.co/rryWmyXe7C.",Trump Organization,1
2021-05-19T23:49:24.000Z,1395164717912629248,205864193,-1,1395164717912629248,406,1584,5557,".@MichaelCohen212 on the new NY State criminal investigation into the Trump Organization: ‘I think Donald Trump is going to flip on all of them’

#TheReidOut #reiders https://t.co/VvxzhNZGtW",Trump Organization,1
2021-05-19T23:46:36.000Z,1395164014632652806,2889924959,-1,1395164014632652806,1,21,71,"NY attorney general has been looking into the taxes of Trump Organization CFO for months, sources say - CNNPolitics https://t.co/txWhdCaMoO",Trump Organization,1
2021-05-19T23:46:22.000Z,1395163954675130372,21765161,-1,1395163954675130372,7,39,121,"The New York attorney general's office has opened a criminal tax investigation into top Trump Organization officer Allen Weisselberg, increasing the legal pressure on the long-time aide to Donald Trump, according to people familiar with the investigation. 
https://t.co/igFvDjOObp",Trump Organization,1
2021-05-19T23:46:00.000Z,1395163861938933760,40711129,-1,1395163861938933760,0,0,8,"‘This wasn’t a leak’: @JoeNBC explains why New York’s Trump investigation is so serious 

https://t.co/584tOwDNxe",Trump Organization,1
2021-05-19T23:45:07.000Z,1395163641054470146,9229672,-1,1395163641054470146,0,0,2,The New York attorney general's office says it is conducting a criminal investigation into former President Donald Trump's business empire.​  https://t.co/qPekrKLg0r,Trump Organization,1
2021-05-19T23:45:01.000Z,1395163614106030080,1047152531388936192,-1,1395163614106030080,0,0,0,"The New York attorney general’s office confirmed its investigation of the Trump Organization is now a criminal probe, not just a civil one. https://t.co/LsTk7CFwki",Trump Organization,1
2021-05-19T23:44:50.000Z,1395163567557693441,14957147,-1,1395163567557693441,1,7,20,".@AnaKasparian on the criminal investigation into the @Trump organization: 

""The way that the tax code is written overwhelmingly benefits the rich and the powerful."" 

""That wasn't enough for Trump."" 

#tytlive https://t.co/vtf1b0hb8v https://t.co/E96wJUTHM8",Trump Organization,1
2021-05-19T23:41:05.000Z,1395162624619319296,1101997326,-1,1395162624619319296,0,0,0,A New Trump Organization Criminal Probe Sounds Like Very Bad News for Both Donald and Ivanka Trump - Vanity Fair https://t.co/5QTHHQ0hHO,Trump Organization,1
2021-05-19T23:37:28.000Z,1395161717575925765,143506878,-1,1395161717575925765,0,0,0,"NY attorney general has been looking into the taxes of Trump Organization CFO for months, sources say - CNN Politics https://t.co/BF1oxUgy1A",Trump Organization,1
2021-05-19T23:36:12.000Z,1395161396866961409,16135783,-1,1395161396866961409,0,0,0,"NY attorney general has been looking into the taxes of Trump Organization CFO for months, sources say https://t.co/9M81s2qzlj",Trump Organization,1
2021-05-19T23:35:07.000Z,1395161125013139462,451922770,-1,1395161125013139462,0,0,0,What we know about investigations looming over Donald Trump and Trump Organization https://t.co/MaA4CttStB,Trump Organization,1
2021-05-19T23:35:02.000Z,1395161105182437376,1101997326,-1,1395161105182437376,0,0,0,"NY attorney general has been looking into the taxes of Trump Organization CFO for months, sources say - CNN Politics https://t.co/sxgN3QH0fD",Trump Organization,1
2021-05-19T23:34:42.000Z,1395161019618664448,18124790,-1,1395161019618664448,2,6,45,"He will talk 

NY attorney general has been looking into the taxes of Trump Organization CFO for months, sources say - CNN Politics https://t.co/pP9mhO1znY",Trump Organization,1
2021-05-19T23:32:50.000Z,1395160550406070274,56813486,-1,1395160550406070274,0,0,2,"NY attorney general has been looking into the taxes of Trump Organization CFO for months, sources say @KaraScannell @soniamoghe @CNNPolitics https://t.co/2cHXxQuDUF",Trump Organization,1
2021-05-19T23:31:30.000Z,1395160214047973380,759251,-1,1395160214047973380,117,298,1052,"The New York attorney general's office has opened a criminal tax investigation into top Trump Organization officer Allen Weisselberg, increasing the legal pressure on the long-time aide to former President Donald Trump, sources say https://t.co/IZknb3g4wW",Trump Organization,1
